EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASONI_DI_SANTA_MARIA_DI_TARO (STAID: 17570).
Blended and updated with sources: 194712 197584 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194712,20051201,-9999,    9
194712,20051202,-9999,    9
194712,20051203,-9999,    9
194712,20051204,-9999,    9
194712,20051205,-9999,    9
194712,20051206,-9999,    9
194712,20051207,-9999,    9
194712,20051208,-9999,    9
194712,20051209,-9999,    9
194712,20051210,-9999,    9
194712,20051211,-9999,    9
194712,20051212,-9999,    9
194712,20051213,-9999,    9
194712,20051214,-9999,    9
194712,20051215,-9999,    9
194712,20051216,-9999,    9
194712,20051217,-9999,    9
194712,20051218,-9999,    9
194712,20051219,-9999,    9
194712,20051220,-9999,    9
194712,20051221,-9999,    9
194712,20051222,-9999,    9
194712,20051223,-9999,    9
194712,20051224,-9999,    9
194712,20051225,-9999,    9
194712,20051226,-9999,    9
194712,20051227,-9999,    9
194712,20051228,-9999,    9
194712,20051229,-9999,    9
194712,20051230,-9999,    9
194712,20051231,   45,    0
194712,20060101,   44,    0
194712,20060102,   41,    0
194712,20060103,   66,    0
194712,20060104,   48,    0
194712,20060105,   31,    0
194712,20060106,   44,    0
194712,20060107,   58,    0
194712,20060108,   45,    0
194712,20060109,   33,    0
194712,20060110,   52,    0
194712,20060111,   60,    0
194712,20060112,   65,    0
194712,20060113,   54,    0
194712,20060114,   59,    0
194712,20060115,   14,    0
194712,20060116,   12,    0
194712,20060117,   44,    0
194712,20060118,   77,    0
194712,20060119,   84,    0
194712,20060120,   80,    0
194712,20060121,   80,    0
194712,20060122,   63,    0
194712,20060123,   30,    0
194712,20060124,    8,    0
194712,20060125,   32,    0
194712,20060126,   -2,    0
194712,20060127,    2,    0
194712,20060128,   49,    0
194712,20060129,   75,    0
194712,20060130,   91,    0
194712,20060131,  117,    0
194712,20060201,  130,    0
194712,20060202,  110,    0
194712,20060203,   82,    0
194712,20060204,   79,    0
194712,20060205,   43,    0
194712,20060206,   24,    0
194712,20060207,   45,    0
194712,20060208,   67,    0
194712,20060209,   52,    0
194712,20060210,   16,    0
194712,20060211,    5,    0
194712,20060212,   -2,    0
194712,20060213,    3,    0
194712,20060214,   13,    0
194712,20060215,   40,    0
194712,20060216,   56,    0
194712,20060217,   49,    0
194712,20060218,   48,    0
194712,20060219,   48,    0
194712,20060220,   31,    0
194712,20060221,   20,    0
194712,20060222,   14,    0
194712,20060223,   23,    0
194712,20060224,    1,    0
194712,20060225,    7,    0
194712,20060226,   16,    0
194712,20060227,    5,    0
194712,20060228,   -2,    0
194712,20060301,   -2,    0
194712,20060302,   -2,    0
194712,20060303,   42,    0
194712,20060304,   60,    0
194712,20060305,   56,    0
194712,20060306,    8,    0
194712,20060307,    6,    0
194712,20060308,    6,    0
194712,20060309,   57,    0
194712,20060310,   66,    0
194712,20060311,   32,    0
194712,20060312,    0,    0
194712,20060313,   14,    0
194712,20060314,   35,    0
194712,20060315,   26,    0
194712,20060316,   15,    0
194712,20060317,   33,    0
194712,20060318,   30,    0
194712,20060319,   42,    0
194712,20060320,   48,    0
194712,20060321,   54,    0
194712,20060322,   56,    0
194712,20060323,   61,    0
194712,20060324,   44,    0
194712,20060325,   55,    0
194712,20060326,   70,    0
194712,20060327,   80,    0
194712,20060328,   72,    0
194712,20060329,   78,    0
194712,20060330,   66,    0
194712,20060331,   71,    0
194712,20060401,   86,    0
194712,20060402,   98,    0
194712,20060403,  107,    0
194712,20060404,   86,    0
194712,20060405,   64,    0
194712,20060406,   59,    0
194712,20060407,   56,    0
194712,20060408,   55,    0
194712,20060409,   70,    0
194712,20060410,   75,    0
194712,20060411,   40,    0
194712,20060412,   60,    0
194712,20060413,   85,    0
194712,20060414,   91,    0
194712,20060415,   87,    0
194712,20060416,   97,    0
194712,20060417,  106,    0
194712,20060418,  106,    0
194712,20060419,  108,    0
194712,20060420,   94,    0
194712,20060421,  105,    0
194712,20060422,  125,    0
194712,20060423,  119,    0
194712,20060424,  142,    0
194712,20060425,  137,    0
194712,20060426,  115,    0
194712,20060427,  112,    0
194712,20060428,  112,    0
194712,20060429,  108,    0
194712,20060430,   90,    0
194712,20060501,   91,    0
194712,20060502,  104,    0
194712,20060503,  130,    0
194712,20060504,  139,    0
194712,20060505,  125,    0
194712,20060506,  121,    0
194712,20060507,  112,    0
194712,20060508,  114,    0
194712,20060509,   76,    0
194712,20060510,  101,    0
194712,20060511,  108,    0
194712,20060512,  127,    0
194712,20060513,  118,    0
194712,20060514,  131,    0
194712,20060515,  145,    0
194712,20060516,  144,    0
194712,20060517,  146,    0
194712,20060518,  161,    0
194712,20060519,  145,    0
194712,20060520,  131,    0
194712,20060521,  130,    0
194712,20060522,  154,    0
194712,20060523,  139,    0
194712,20060524,  120,    0
194712,20060525,  132,    0
194712,20060526,  153,    0
194712,20060527,  175,    0
194712,20060528,  165,    0
194712,20060529,  149,    0
194712,20060530,  121,    0
194712,20060531,   81,    0
194712,20060601,  104,    0
194712,20060602,   78,    0
194712,20060603,  128,    0
194712,20060604,  127,    0
194712,20060605,  126,    0
194712,20060606,  118,    0
194712,20060607,  119,    0
194712,20060608,  126,    0
194712,20060609,  132,    0
194712,20060610,  145,    0
194712,20060611,  149,    0
194712,20060612,  154,    0
194712,20060613,  168,    0
194712,20060614,  171,    0
194712,20060615,  169,    0
194712,20060616,  166,    0
194712,20060617,  185,    0
194712,20060618,  198,    0
194712,20060619,  195,    0
194712,20060620,  217,    0
194712,20060621,  215,    0
194712,20060622,  203,    0
194712,20060623,  210,    0
194712,20060624,  225,    0
194712,20060625,  215,    0
194712,20060626,  213,    0
194712,20060627,  220,    0
194712,20060628,  227,    0
194712,20060629,  218,    0
194712,20060630,  225,    0
194712,20060701,  221,    0
194712,20060702,  205,    0
194712,20060703,  204,    0
194712,20060704,  210,    0
194712,20060705,  209,    0
194712,20060706,  178,    0
194712,20060707,  162,    0
194712,20060708,  185,    0
194712,20060709,  200,    0
194712,20060710,  223,    0
194712,20060711,  233,    0
194712,20060712,  235,    0
194712,20060713,  205,    0
194712,20060714,  213,    0
194712,20060715,  221,    0
194712,20060716,  213,    0
194712,20060717,  204,    0
194712,20060718,  210,    0
194712,20060719,  220,    0
194712,20060720,  234,    0
194712,20060721,  243,    0
194712,20060722,  238,    0
194712,20060723,  208,    0
194712,20060724,  205,    0
194712,20060725,  216,    0
194712,20060726,  214,    0
194712,20060727,  223,    0
194712,20060728,  203,    0
194712,20060729,  209,    0
194712,20060730,  207,    0
194712,20060731,  225,    0
194712,20060801,  210,    0
194712,20060802,  205,    0
194712,20060803,  154,    0
194712,20060804,  162,    0
194712,20060805,  140,    0
194712,20060806,  163,    0
194712,20060807,  176,    0
194712,20060808,  173,    0
194712,20060809,  168,    0
194712,20060810,  160,    0
194712,20060811,  151,    0
194712,20060812,  119,    0
194712,20060813,  130,    0
194712,20060814,  125,    0
194712,20060815,  149,    0
194712,20060816,  150,    0
194712,20060817,  180,    0
194712,20060818,  178,    0
194712,20060819,  175,    0
194712,20060820,  171,    0
194712,20060821,  174,    0
194712,20060822,  172,    0
194712,20060823,  165,    0
194712,20060824,  157,    0
194712,20060825,  160,    0
194712,20060826,  147,    0
194712,20060827,  157,    0
194712,20060828,  148,    0
194712,20060829,  158,    0
194712,20060830,  148,    0
194712,20060831,  145,    0
194712,20060901,  149,    0
194712,20060902,  148,    0
194712,20060903,  161,    0
194712,20060904,  177,    0
194712,20060905,  193,    0
194712,20060906,  207,    0
194712,20060907,  202,    0
194712,20060908,  180,    0
194712,20060909,  179,    0
194712,20060910,  164,    0
194712,20060911,  155,    0
194712,20060912,  148,    0
194712,20060913,  158,    0
194712,20060914,  145,    0
194712,20060915,  149,    0
194712,20060916,  143,    0
194712,20060917,  129,    0
194712,20060918,  145,    0
194712,20060919,  150,    0
194712,20060920,  156,    0
194712,20060921,  158,    0
194712,20060922,  160,    0
194712,20060923,  163,    0
194712,20060924,  144,    0
194712,20060925,  128,    0
194712,20060926,  141,    0
194712,20060927,  153,    0
194712,20060928,  150,    0
194712,20060929,  136,    0
194712,20060930,  132,    0
194712,20061001,  148,    0
194712,20061002,  148,    0
194712,20061003,  157,    0
194712,20061004,  123,    0
194712,20061005,   97,    0
194712,20061006,  110,    0
194712,20061007,  101,    0
194712,20061008,  118,    0
194712,20061009,  116,    0
194712,20061010,  114,    0
194712,20061011,  116,    0
194712,20061012,  120,    0
194712,20061013,  125,    0
194712,20061014,  132,    0
194712,20061015,  112,    0
194712,20061016,  106,    0
194712,20061017,   89,    0
194712,20061018,   89,    0
194712,20061019,   94,    0
194712,20061020,  100,    0
194712,20061021,  106,    0
194712,20061022,  115,    0
194712,20061023,  135,    0
194712,20061024,  141,    0
194712,20061025,  118,    0
194712,20061026,  130,    0
194712,20061027,  153,    0
194712,20061028,  155,    0
194712,20061029,  170,    0
194712,20061030,  150,    0
194712,20061031,  106,    0
194712,20061101,  117,    0
194712,20061102,   51,    0
194712,20061103,   24,    0
194712,20061104,   38,    0
194712,20061105,   76,    0
194712,20061106,   85,    0
194712,20061107,   76,    0
194712,20061108,   97,    0
194712,20061109,  104,    0
194712,20061110,   96,    0
194712,20061111,   77,    0
194712,20061112,  100,    0
194712,20061113,   96,    0
194712,20061114,   92,    0
194712,20061115,   98,    0
194712,20061116,  105,    0
194712,20061117,  114,    0
194712,20061118,   88,    0
194712,20061119,   85,    0
194712,20061120,   81,    0
194712,20061121,   67,    0
194712,20061122,   63,    0
194712,20061123,   68,    0
194712,20061124,   93,    0
194712,20061125,  109,    0
194712,20061126,  106,    0
194712,20061127,   64,    0
194712,20061128,   49,    0
194712,20061129,   59,    0
194712,20061130,   71,    0
194712,20061201,   64,    0
194712,20061202,   56,    0
194712,20061203,   75,    0
194712,20061204,   93,    0
194712,20061205,  102,    0
194712,20061206,  101,    0
194712,20061207,   88,    0
194712,20061208,   84,    0
194712,20061209,   54,    0
194712,20061210,   33,    0
194712,20061211,   15,    0
194712,20061212,   30,    0
194712,20061213,   50,    0
194712,20061214,   73,    0
194712,20061215,   64,    0
194712,20061216,   81,    0
194712,20061217,   49,    0
194712,20061218,   29,    0
194712,20061219,   13,    0
194712,20061220,    8,    0
194712,20061221,   14,    0
194712,20061222,   13,    0
194712,20061223,   42,    0
194712,20061224,   73,    0
194712,20061225,   88,    0
194712,20061226,   43,    0
194712,20061227,   29,    0
194712,20061228,   45,    0
194712,20061229,   46,    0
194712,20061230,   61,    0
194712,20061231,   74,    0
194712,20070101,   72,    0
194712,20070102,   51,    0
194712,20070103,   51,    0
194712,20070104,   51,    0
194712,20070105,   44,    0
194712,20070106,   52,    0
194712,20070107,   59,    0
194712,20070108,   66,    0
194712,20070109,   75,    0
194712,20070110,   67,    0
194712,20070111,   70,    0
194712,20070112,   91,    0
194712,20070113,   98,    0
194712,20070114,   73,    0
194712,20070115,   54,    0
194712,20070116,   57,    0
194712,20070117,   61,    0
194712,20070118,   70,    0
194712,20070119,   98,    0
194712,20070120,   97,    0
194712,20070121,   79,    0
194712,20070122,   76,    0
194712,20070123,   57,    0
194712,20070124,   -4,    0
194712,20070125,  -18,    0
194712,20070126,  -35,    0
194712,20070127,   -7,    0
194712,20070128,   34,    0
194712,20070129,   36,    0
194712,20070130,   38,    0
194712,20070131,   34,    0
194712,20070201,   54,    0
194712,20070202,   47,    0
194712,20070203,   66,    0
194712,20070204,   38,    0
194712,20070205,   46,    0
194712,20070206,   48,    0
194712,20070207,   40,    0
194712,20070208,   47,    0
194712,20070209,   45,    0
194712,20070210,   38,    0
194712,20070211,   43,    0
194712,20070212,   56,    0
194712,20070213,   72,    0
194712,20070214,   44,    0
194712,20070215,   68,    0
194712,20070216,   73,    0
194712,20070217,   45,    0
194712,20070218,   25,    0
194712,20070219,   30,    0
194712,20070220,   52,    0
194712,20070221,   58,    0
194712,20070222,   54,    0
194712,20070223,   52,    0
194712,20070224,   49,    0
194712,20070225,   59,    0
194712,20070226,   69,    0
194712,20070227,   83,    0
194712,20070228,   61,    0
194712,20070301,   73,    0
194712,20070302,   93,    0
194712,20070303,   79,    0
194712,20070304,  100,    0
194712,20070305,   92,    0
194712,20070306,   79,    0
194712,20070307,   54,    0
194712,20070308,   77,    0
194712,20070309,   77,    0
194712,20070310,   67,    0
194712,20070311,   54,    0
194712,20070312,   75,    0
194712,20070313,  100,    0
194712,20070314,  120,    0
194712,20070315,  108,    0
194712,20070316,  108,    0
194712,20070317,   98,    0
194712,20070318,   66,    0
194712,20070319,   31,    0
194712,20070320,   -2,    0
194712,20070321,   22,    0
194712,20070322,   20,    0
194712,20070323,   30,    0
194712,20070324,   28,    0
194712,20070325,   14,    0
194712,20070326,   34,    0
194712,20070327,   42,    0
194712,20070328,   54,    0
194712,20070329,   61,    0
194712,20070330,   45,    0
194712,20070331,   50,    0
194712,20070401,   53,    0
194712,20070402,   80,    0
194712,20070403,   76,    0
194712,20070404,   68,    0
194712,20070405,   91,    0
194712,20070406,  101,    0
194712,20070407,  100,    0
194712,20070408,   94,    0
194712,20070409,   99,    0
194712,20070410,  103,    0
194712,20070411,  127,    0
194712,20070412,  141,    0
194712,20070413,  149,    0
194712,20070414,  153,    0
194712,20070415,  160,    0
194712,20070416,  154,    0
194712,20070417,  150,    0
194712,20070418,  135,    0
194712,20070419,  129,    0
194712,20070420,  138,    0
194712,20070421,  148,    0
194712,20070422,  140,    0
194712,20070423,  149,    0
194712,20070424,  156,    0
194712,20070425,  147,    0
194712,20070426,  135,    0
194712,20070427,  139,    0
194712,20070428,  142,    0
194712,20070429,  132,    0
194712,20070430,  105,    0
194712,20070501,  120,    0
194712,20070502,   94,    0
194712,20070503,   91,    0
194712,20070504,   93,    0
194712,20070505,   94,    0
194712,20070506,  112,    0
194712,20070507,  143,    0
194712,20070508,  149,    0
194712,20070509,  149,    0
194712,20070510,  150,    0
194712,20070511,  133,    0
194712,20070512,  143,    0
194712,20070513,  152,    0
194712,20070514,  155,    0
194712,20070515,  110,    0
194712,20070516,   98,    0
194712,20070517,  105,    0
194712,20070518,  143,    0
194712,20070519,  150,    0
194712,20070520,  165,    0
194712,20070521,  184,    0
194712,20070522,  201,    0
194712,20070523,  188,    0
194712,20070524,  194,    0
194712,20070525,  200,    0
194712,20070526,  160,    0
194712,20070527,  136,    0
194712,20070528,   82,    0
194712,20070529,   95,    0
194712,20070530,  121,    0
194712,20070531,  105,    0
194712,20070601,   98,    0
194712,20070602,  102,    0
194712,20070603,  142,    0
194712,20070604,  170,    0
194712,20070605,  161,    0
194712,20070606,  144,    0
194712,20070607,  141,    0
194712,20070608,  159,    0
194712,20070609,  178,    0
194712,20070610,  181,    0
194712,20070611,  161,    0
194712,20070612,  149,    0
194712,20070613,  158,    0
194712,20070614,  175,    0
194712,20070615,  152,    0
194712,20070616,  153,    0
194712,20070617,  158,    0
194712,20070618,  172,    0
194712,20070619,  209,    0
194712,20070620,  210,    0
194712,20070621,  172,    0
194712,20070622,  164,    0
194712,20070623,  158,    0
194712,20070624,  174,    0
194712,20070625,  185,    0
194712,20070626,  149,    0
194712,20070627,  140,    0
194712,20070628,  142,    0
194712,20070629,  147,    0
194712,20070630,  168,    0
194712,20070701,  180,    0
194712,20070702,  165,    0
194712,20070703,  158,    0
194712,20070704,  160,    0
194712,20070705,  155,    0
194712,20070706,  160,    0
194712,20070707,  174,    0
194712,20070708,  187,    0
194712,20070709,  161,    0
194712,20070710,  149,    0
194712,20070711,  131,    0
194712,20070712,  160,    0
194712,20070713,  175,    0
194712,20070714,  200,    0
194712,20070715,  216,    0
194712,20070716,  220,    0
194712,20070717,  223,    0
194712,20070718,  233,    0
194712,20070719,  233,    0
194712,20070720,  226,    0
194712,20070721,  202,    0
194712,20070722,  188,    0
194712,20070723,  189,    0
194712,20070724,  179,    0
194712,20070725,  198,    0
194712,20070726,  215,    0
194712,20070727,  213,    0
194712,20070728,  218,    0
194712,20070729,  225,    0
194712,20070730,  203,    0
194712,20070731,  172,    0
194712,20070801,  179,    0
194712,20070802,  183,    0
194712,20070803,  187,    0
194712,20070804,  201,    0
194712,20070805,  195,    0
194712,20070806,  202,    0
194712,20070807,  194,    0
194712,20070808,  156,    0
194712,20070809,  150,    0
194712,20070810,  155,    0
194712,20070811,  168,    0
194712,20070812,  157,    0
194712,20070813,  169,    0
194712,20070814,  170,    0
194712,20070815,  185,    0
194712,20070816,  182,    0
194712,20070817,  174,    0
194712,20070818,  160,    0
194712,20070819,  167,    0
194712,20070820,  131,    0
194712,20070821,  124,    0
194712,20070822,  139,    0
194712,20070823,  139,    0
194712,20070824,  161,    0
194712,20070825,  192,    0
194712,20070826,  215,    0
194712,20070827,  216,    0
194712,20070828,  211,    0
194712,20070829,  197,    0
194712,20070830,  196,    0
194712,20070831,  161,    0
194712,20070901,  168,    0
194712,20070902,  160,    0
194712,20070903,  158,    0
194712,20070904,  145,    0
194712,20070905,  122,    0
194712,20070906,  124,    0
194712,20070907,  144,    0
194712,20070908,  161,    0
194712,20070909,  144,    0
194712,20070910,  144,    0
194712,20070911,  161,    0
194712,20070912,  158,    0
194712,20070913,  150,    0
194712,20070914,  151,    0
194712,20070915,  161,    0
194712,20070916,  164,    0
194712,20070917,  167,    0
194712,20070918,  163,    0
194712,20070919,  131,    0
194712,20070920,  122,    0
194712,20070921,  124,    0
194712,20070922,  140,    0
194712,20070923,  142,    0
194712,20070924,  150,    0
194712,20070925,  141,    0
194712,20070926,   93,    0
194712,20070927,   57,    0
194712,20070928,   80,    0
194712,20070929,  106,    0
194712,20070930,  127,    0
194712,20071001,  129,    0
194712,20071002,  143,    0
194712,20071003,  155,    0
194712,20071004,  154,    0
194712,20071005,  154,    0
194712,20071006,  142,    0
194712,20071007,  124,    0
194712,20071008,  116,    0
194712,20071009,  113,    0
194712,20071010,  111,    0
194712,20071011,  115,    0
194712,20071012,  121,    0
194712,20071013,  116,    0
194712,20071014,  107,    0
194712,20071015,   94,    0
194712,20071016,   93,    0
194712,20071017,   92,    0
194712,20071018,  104,    0
194712,20071019,   73,    0
194712,20071020,   33,    0
194712,20071021,   34,    0
194712,20071022,   57,    0
194712,20071023,   84,    0
194712,20071024,   49,    0
194712,20071025,   59,    0
194712,20071026,   76,    0
194712,20071027,   90,    0
194712,20071028,   86,    0
194712,20071029,   83,    0
194712,20071030,   68,    0
194712,20071031,   82,    0
194712,20071101,   71,    0
194712,20071102,  104,    0
194712,20071103,  106,    0
194712,20071104,   83,    0
194712,20071105,   83,    0
194712,20071106,   77,    0
194712,20071107,   67,    0
194712,20071108,   79,    0
194712,20071109,   73,    0
194712,20071110,   44,    0
194712,20071111,   58,    0
194712,20071112,   60,    0
194712,20071113,   37,    0
194712,20071114,   47,    0
194712,20071115,    7,    0
194712,20071116,    1,    0
194712,20071117,    0,    0
194712,20071118,    6,    0
194712,20071119,   11,    0
194712,20071120,   28,    0
194712,20071121,   23,    0
194712,20071122,   29,    0
194712,20071123,  101,    0
194712,20071124,   70,    0
194712,20071125,   70,    0
194712,20071126,   70,    0
194712,20071127,   35,    0
194712,20071128,   35,    0
194712,20071129,   18,    0
194712,20071130,   31,    0
194712,20071201,   63,    0
194712,20071202,   68,    0
194712,20071203,   73,    0
194712,20071204,   54,    0
194712,20071205,   52,    0
194712,20071206,   56,    0
194712,20071207,   55,    0
194712,20071208,   54,    0
194712,20071209,   25,    0
194712,20071210,   30,    0
194712,20071211,   50,    0
194712,20071212,   52,    0
194712,20071213,   51,    0
194712,20071214,   22,    0
194712,20071215,  -17,    0
194712,20071216,  -25,    0
194712,20071217,  -30,    0
194712,20071218,  -11,    0
194712,20071219,   30,    0
194712,20071220,   47,    0
194712,20071221,   32,    0
194712,20071222,   27,    0
194712,20071223,    8,    0
194712,20071224,   20,    0
194712,20071225,    8,    0
194712,20071226,   10,    0
194712,20071227,   26,    0
194712,20071228,   36,    0
194712,20071229,   22,    0
194712,20071230,   12,    0
194712,20071231,   26,    0
194712,20080101,   -4,    0
194712,20080102,  -13,    0
194712,20080103,  -28,    0
194712,20080104,    0,    0
194712,20080105,   16,    0
194712,20080106,   53,    0
194712,20080107,   54,    0
194712,20080108,   16,    0
194712,20080109,   21,    0
194712,20080110,   31,    0
194712,20080111,   57,    0
194712,20080112,   47,    0
194712,20080113,   23,    0
194712,20080114,   20,    0
194712,20080115,   25,    0
194712,20080116,   42,    0
194712,20080117,   38,    0
194712,20080118,   43,    0
194712,20080119,   48,    0
194712,20080120,   44,    0
194712,20080121,   49,    0
194712,20080122,   69,    0
194712,20080123,   33,    0
194712,20080124,   33,    0
194712,20080125,   59,    0
194712,20080126,   81,    0
194712,20080127,  110,    0
194712,20080128,  152,    0
194712,20080129,   61,    0
194712,20080130,   43,    0
194712,20080131,   36,    0
194712,20080201,   39,    0
194712,20080202,   35,    0
194712,20080203,   27,    0
194712,20080204,   29,    0
194712,20080205,   48,    0
194712,20080206,   45,    0
194712,20080207,   76,    0
194712,20080208,   38,    0
194712,20080209,   21,    0
194712,20080210,   28,    0
194712,20080211,   24,    0
194712,20080212,   34,    0
194712,20080213,   30,    0
194712,20080214,   24,    0
194712,20080215,   25,    0
194712,20080216,   10,    0
194712,20080217,  -15,    0
194712,20080218,    1,    0
194712,20080219,   23,    0
194712,20080220,   33,    0
194712,20080221,   44,    0
194712,20080222,   58,    0
194712,20080223,   53,    0
194712,20080224,   70,    0
194712,20080225,   66,    0
194712,20080226,   48,    0
194712,20080227,   68,    0
194712,20080228,   74,    0
194712,20080229,   67,    0
194712,20080301,   74,    0
194712,20080302,   89,    0
194712,20080303,   71,    0
194712,20080304,   53,    0
194712,20080305,   -1,    0
194712,20080306,   -4,    0
194712,20080307,   25,    0
194712,20080308,   31,    0
194712,20080309,   26,    0
194712,20080310,   39,    0
194712,20080311,   62,    0
194712,20080312,   72,    0
194712,20080313,   86,    0
194712,20080314,   65,    0
194712,20080315,   65,    0
194712,20080316,   69,    0
194712,20080317,   79,    0
194712,20080318,   63,    0
194712,20080319,   39,    0
194712,20080320,   32,    0
194712,20080321,   33,    0
194712,20080322,   21,    0
194712,20080323,   18,    0
194712,20080324,   13,    0
194712,20080325,   35,    0
194712,20080326,   41,    0
194712,20080327,   26,    0
194712,20080328,   52,    0
194712,20080329,   80,    0
194712,20080330,   92,    0
194712,20080331,   95,    0
194712,20080401,  114,    0
194712,20080402,  113,    0
194712,20080403,   79,    0
194712,20080404,   72,    0
194712,20080405,   63,    0
194712,20080406,   64,    0
194712,20080407,   54,    0
194712,20080408,   55,    0
194712,20080409,   64,    0
194712,20080410,   94,    0
194712,20080411,   89,    0
194712,20080412,   57,    0
194712,20080413,   66,    0
194712,20080414,   41,    0
194712,20080415,   56,    0
194712,20080416,   59,    0
194712,20080417,   73,    0
194712,20080418,   67,    0
194712,20080419,   79,    0
194712,20080420,   95,    0
194712,20080421,   65,    0
194712,20080422,   77,    0
194712,20080423,  101,    0
194712,20080424,  112,    0
194712,20080425,  123,    0
194712,20080426,  123,    0
194712,20080427,  110,    0
194712,20080428,  101,    0
194712,20080429,   63,    0
194712,20080430,   88,    0
194712,20080501,   97,    0
194712,20080502,  123,    0
194712,20080503,  147,    0
194712,20080504,  143,    0
194712,20080505,  122,    0
194712,20080506,  125,    0
194712,20080507,  131,    0
194712,20080508,  131,    0
194712,20080509,  142,    0
194712,20080510,  152,    0
194712,20080511,  140,    0
194712,20080512,  130,    0
194712,20080513,  139,    0
194712,20080514,  135,    0
194712,20080515,  112,    0
194712,20080516,  116,    0
194712,20080517,  118,    0
194712,20080518,  110,    0
194712,20080519,  123,    0
194712,20080520,  109,    0
194712,20080521,  128,    0
194712,20080522,  110,    0
194712,20080523,  109,    0
194712,20080524,  124,    0
194712,20080525,  147,    0
194712,20080526,  177,    0
194712,20080527,  193,    0
194712,20080528,  186,    0
194712,20080529,  146,    0
194712,20080530,  123,    0
194712,20080531,  131,    0
194712,20080601,  158,    0
194712,20080602,  143,    0
194712,20080603,  138,    0
194712,20080604,  127,    0
194712,20080605,  124,    0
194712,20080606,  118,    0
194712,20080607,  137,    0
194712,20080608,  141,    0
194712,20080609,  157,    0
194712,20080610,  163,    0
194712,20080611,  152,    0
194712,20080612,  133,    0
194712,20080613,  132,    0
194712,20080614,  109,    0
194712,20080615,  107,    0
194712,20080616,  125,    0
194712,20080617,  143,    0
194712,20080618,  164,    0
194712,20080619,  171,    0
194712,20080620,  189,    0
194712,20080621,  209,    0
194712,20080622,  214,    0
194712,20080623,  208,    0
194712,20080624,  209,    0
194712,20080625,  212,    0
194712,20080626,  214,    0
194712,20080627,  216,    0
194712,20080628,  216,    0
194712,20080629,  213,    0
194712,20080630,  204,    0
194712,20080701,  208,    0
194712,20080702,  202,    0
194712,20080703,  192,    0
194712,20080704,  183,    0
194712,20080705,  180,    0
194712,20080706,  173,    0
194712,20080707,  175,    0
194712,20080708,  168,    0
194712,20080709,  174,    0
194712,20080710,  185,    0
194712,20080711,  183,    0
194712,20080712,  194,    0
194712,20080713,  176,    0
194712,20080714,  138,    0
194712,20080715,  168,    0
194712,20080716,  171,    0
194712,20080717,  160,    0
194712,20080718,  167,    0
194712,20080719,  176,    0
194712,20080720,  168,    0
194712,20080721,  182,    0
194712,20080722,  158,    0
194712,20080723,  163,    0
194712,20080724,  168,    0
194712,20080725,  170,    0
194712,20080726,  184,    0
194712,20080727,  190,    0
194712,20080728,  193,    0
194712,20080729,  208,    0
194712,20080730,  217,    0
194712,20080731,  210,    0
194712,20080801,  214,    0
194712,20080802,  204,    0
194712,20080803,  209,    0
194712,20080804,  201,    0
194712,20080805,  208,    0
194712,20080806,  216,    0
194712,20080807,  211,    0
194712,20080808,  190,    0
194712,20080809,  185,    0
194712,20080810,  188,    0
194712,20080811,  185,    0
194712,20080812,  192,    0
194712,20080813,  193,    0
194712,20080814,  196,    0
194712,20080815,  163,    0
194712,20080816,  158,    0
194712,20080817,  149,    0
194712,20080818,  162,    0
194712,20080819,  184,    0
194712,20080820,  180,    0
194712,20080821,  194,    0
194712,20080822,  188,    0
194712,20080823,  169,    0
194712,20080824,  165,    0
194712,20080825,  164,    0
194712,20080826,  197,    0
194712,20080827,  197,    0
194712,20080828,  197,    0
194712,20080829,  200,    0
194712,20080830,  205,    0
194712,20080831,  199,    0
194712,20080901,  183,    0
194712,20080902,  171,    0
194712,20080903,  166,    0
194712,20080904,  181,    0
194712,20080905,  189,    0
194712,20080906,  199,    0
194712,20080907,  161,    0
194712,20080908,  155,    0
194712,20080909,  175,    0
194712,20080910,  203,    0
194712,20080911,  209,    0
194712,20080912,  181,    0
194712,20080913,  138,    0
194712,20080914,  119,    0
194712,20080915,   88,    0
194712,20080916,  109,    0
194712,20080917,  113,    0
194712,20080918,  124,    0
194712,20080919,  117,    0
194712,20080920,  114,    0
194712,20080921,   98,    0
194712,20080922,   82,    0
194712,20080923,   93,    0
194712,20080924,  101,    0
194712,20080925,  110,    0
194712,20080926,  101,    0
194712,20080927,   95,    0
194712,20080928,   92,    0
194712,20080929,   92,    0
194712,20080930,   93,    0
194712,20081001,  113,    0
194712,20081002,  117,    0
194712,20081003,  104,    0
194712,20081004,   78,    0
194712,20081005,   81,    0
