EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BERRA (STAID: 17530).
Blended and updated with sources: 194296 194936 195040 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194936,20051201,-9999,    9
194936,20051202,-9999,    9
194936,20051203,-9999,    9
194936,20051204,-9999,    9
194936,20051205,-9999,    9
194936,20051206,-9999,    9
194936,20051207,-9999,    9
194936,20051208,-9999,    9
194936,20051209,-9999,    9
194936,20051210,-9999,    9
194936,20051211,-9999,    9
194936,20051212,-9999,    9
194936,20051213,-9999,    9
194936,20051214,-9999,    9
194936,20051215,-9999,    9
194936,20051216,-9999,    9
194936,20051217,-9999,    9
194936,20051218,-9999,    9
194936,20051219,-9999,    9
194936,20051220,-9999,    9
194936,20051221,-9999,    9
194936,20051222,-9999,    9
194936,20051223,-9999,    9
194936,20051224,-9999,    9
194936,20051225,-9999,    9
194936,20051226,-9999,    9
194936,20051227,-9999,    9
194936,20051228,-9999,    9
194936,20051229,-9999,    9
194936,20051230,-9999,    9
194936,20051231,  -10,    0
194936,20060101,    0,    0
194936,20060102,   12,    0
194936,20060103,   31,    0
194936,20060104,   33,    0
194936,20060105,   35,    0
194936,20060106,   23,    0
194936,20060107,   32,    0
194936,20060108,   32,    0
194936,20060109,    8,    0
194936,20060110,    0,    0
194936,20060111,    4,    0
194936,20060112,   11,    0
194936,20060113,   12,    0
194936,20060114,  -25,    0
194936,20060115,    0,    0
194936,20060116,    5,    0
194936,20060117,    0,    0
194936,20060118,    2,    0
194936,20060119,  -10,    0
194936,20060120,  -29,    0
194936,20060121,   -8,    0
194936,20060122,   16,    0
194936,20060123,    8,    0
194936,20060124,   -9,    0
194936,20060125,  -25,    0
194936,20060126,  -14,    0
194936,20060127,   38,    0
194936,20060128,   60,    0
194936,20060129,   77,    0
194936,20060130,   65,    0
194936,20060131,   52,    0
194936,20060201,   34,    0
194936,20060202,   48,    0
194936,20060203,   39,    0
194936,20060204,   25,    0
194936,20060205,   22,    0
194936,20060206,   -4,    0
194936,20060207,  -12,    0
194936,20060208,    3,    0
194936,20060209,    6,    0
194936,20060210,   20,    0
194936,20060211,   20,    0
194936,20060212,   11,    0
194936,20060213,   13,    0
194936,20060214,   10,    0
194936,20060215,   27,    0
194936,20060216,   28,    0
194936,20060217,   53,    0
194936,20060218,   66,    0
194936,20060219,   46,    0
194936,20060220,   82,    0
194936,20060221,   70,    0
194936,20060222,   77,    0
194936,20060223,   74,    0
194936,20060224,   60,    0
194936,20060225,   50,    0
194936,20060226,   54,    0
194936,20060227,   44,    0
194936,20060228,   18,    0
194936,20060301,   32,    0
194936,20060302,   34,    0
194936,20060303,   31,    0
194936,20060304,   80,    0
194936,20060305,   98,    0
194936,20060306,   47,    0
194936,20060307,   40,    0
194936,20060308,   40,    0
194936,20060309,   63,    0
194936,20060310,   67,    0
194936,20060311,   63,    0
194936,20060312,   23,    0
194936,20060313,   43,    0
194936,20060314,   33,    0
194936,20060315,   39,    0
194936,20060316,   52,    0
194936,20060317,   50,    0
194936,20060318,   45,    0
194936,20060319,   49,    0
194936,20060320,   56,    0
194936,20060321,   71,    0
194936,20060322,   86,    0
194936,20060323,   96,    0
194936,20060324,   78,    0
194936,20060325,   93,    0
194936,20060326,  110,    0
194936,20060327,  125,    0
194936,20060328,  135,    0
194936,20060329,  128,    0
194936,20060330,  113,    0
194936,20060331,  124,    0
194936,20060401,  136,    0
194936,20060402,  130,    0
194936,20060403,  111,    0
194936,20060404,  105,    0
194936,20060405,  115,    0
194936,20060406,   77,    0
194936,20060407,   76,    0
194936,20060408,   96,    0
194936,20060409,  111,    0
194936,20060410,  122,    0
194936,20060411,   92,    0
194936,20060412,   96,    0
194936,20060413,  113,    0
194936,20060414,  116,    0
194936,20060415,  129,    0
194936,20060416,  146,    0
194936,20060417,  139,    0
194936,20060418,  140,    0
194936,20060419,  147,    0
194936,20060420,  155,    0
194936,20060421,  162,    0
194936,20060422,  169,    0
194936,20060423,  171,    0
194936,20060424,  173,    0
194936,20060425,  175,    0
194936,20060426,  175,    0
194936,20060427,  148,    0
194936,20060428,  154,    0
194936,20060429,  154,    0
194936,20060430,  106,    0
194936,20060501,  123,    0
194936,20060502,  142,    0
194936,20060503,  152,    0
194936,20060504,  160,    0
194936,20060505,  160,    0
194936,20060506,  163,    0
194936,20060507,  157,    0
194936,20060508,  168,    0
194936,20060509,  144,    0
195040,20060510,  158,    0
195040,20060511,  171,    0
195040,20060512,  180,    0
195040,20060513,  187,    0
195040,20060514,  165,    0
195040,20060515,  172,    0
195040,20060516,  192,    0
195040,20060517,  201,    0
194936,20060518,  211,    0
194936,20060519,  209,    0
194936,20060520,  201,    0
194936,20060521,  207,    0
194936,20060522,  206,    0
194936,20060523,  198,    0
194936,20060524,  161,    0
194936,20060525,  160,    0
194936,20060526,  188,    0
194936,20060527,  192,    0
194936,20060528,  210,    0
194936,20060529,  179,    0
194936,20060530,  118,    0
194936,20060531,  126,    0
194936,20060601,  152,    0
194936,20060602,  144,    0
194936,20060603,  141,    0
194936,20060604,  176,    0
194936,20060605,  163,    0
194936,20060606,  166,    0
194936,20060607,  162,    0
194936,20060608,  172,    0
194936,20060609,  183,    0
194936,20060610,  193,    0
194936,20060611,  183,    0
194936,20060612,  187,    0
194936,20060613,  208,    0
194936,20060614,  222,    0
194936,20060615,  229,    0
194936,20060616,  229,    0
194936,20060617,  238,    0
194936,20060618,  239,    0
194936,20060619,  241,    0
194936,20060620,  250,    0
194936,20060621,  246,    0
194936,20060622,  257,    0
194936,20060623,  251,    0
194936,20060624,  257,    0
194936,20060625,  255,    0
194936,20060626,  267,    0
195040,20060627,  273,    0
195040,20060628,  270,    0
195040,20060629,  260,    0
195040,20060630,  256,    0
195040,20060701,  256,    0
195040,20060702,  242,    0
195040,20060703,  244,    0
195040,20060704,  236,    0
195040,20060705,  233,    0
195040,20060706,  226,    0
195040,20060707,  203,    0
195040,20060708,  229,    0
195040,20060709,  247,    0
195040,20060710,  257,    0
195040,20060711,  266,    0
195040,20060712,  259,    0
195040,20060713,  262,    0
195040,20060714,  265,    0
195040,20060715,  261,    0
195040,20060716,  241,    0
195040,20060717,  233,    0
195040,20060718,  232,    0
195040,20060719,  251,    0
195040,20060720,  266,    0
195040,20060721,  273,    0
195040,20060722,  281,    0
195040,20060723,  285,    0
195040,20060724,  283,    0
195040,20060725,  283,    0
195040,20060726,  290,    0
195040,20060727,  286,    0
194936,20060728,  265,    0
194936,20060729,  208,    0
194936,20060730,  259,    0
194936,20060731,  264,    0
194936,20060801,  242,    0
194936,20060802,  229,    0
194936,20060803,  202,    0
194936,20060804,  179,    0
194936,20060805,  200,    0
194936,20060806,  216,    0
194936,20060807,  224,    0
194936,20060808,  221,    0
194936,20060809,  211,    0
194936,20060810,  206,    0
194936,20060811,  187,    0
194936,20060812,  168,    0
194936,20060813,  180,    0
194936,20060814,  187,    0
194936,20060815,  197,    0
194936,20060816,  202,    0
194936,20060817,  222,    0
194936,20060818,  250,    0
194936,20060819,  211,    0
194936,20060820,  227,    0
194936,20060821,  208,    0
194936,20060822,  214,    0
194936,20060823,  221,    0
194936,20060824,  227,    0
194936,20060825,  204,    0
194936,20060826,  201,    0
194936,20060827,  188,    0
194936,20060828,  197,    0
194936,20060829,  203,    0
194936,20060830,  177,    0
194936,20060831,  183,    0
194936,20060901,  188,    0
194936,20060902,  199,    0
194936,20060903,  211,    0
194936,20060904,  224,    0
194936,20060905,  231,    0
194936,20060906,  235,    0
194936,20060907,  239,    0
194936,20060908,  232,    0
194936,20060909,  195,    0
194936,20060910,  184,    0
194936,20060911,  186,    0
194936,20060912,  190,    0
194936,20060913,  195,    0
194936,20060914,  208,    0
194936,20060915,  224,    0
194936,20060916,  187,    0
194936,20060917,  173,    0
194936,20060918,  194,    0
194936,20060919,  196,    0
194936,20060920,  198,    0
194936,20060921,  192,    0
194936,20060922,  198,    0
194936,20060923,  187,    0
194936,20060924,  177,    0
194936,20060925,  183,    0
194936,20060926,  201,    0
194936,20060927,  194,    0
194936,20060928,  189,    0
194936,20060929,  189,    0
194936,20060930,  188,    0
194936,20061001,  205,    0
194936,20061002,  207,    0
194936,20061003,  212,    0
194936,20061004,  195,    0
194936,20061005,  153,    0
194936,20061006,  154,    0
194936,20061007,  140,    0
194936,20061008,  150,    0
194936,20061009,  153,    0
194936,20061010,  151,    0
194936,20061011,  146,    0
194936,20061012,  149,    0
194936,20061013,  147,    0
194936,20061014,  153,    0
194936,20061015,  143,    0
194936,20061016,  126,    0
194936,20061017,  116,    0
194936,20061018,  106,    0
194936,20061019,  136,    0
194936,20061020,  137,    0
194936,20061021,  138,    0
194936,20061022,  153,    0
194936,20061023,  158,    0
194936,20061024,  195,    0
194936,20061025,  161,    0
194936,20061026,  146,    0
194936,20061027,  141,    0
194936,20061028,  143,    0
194936,20061029,  147,    0
194936,20061030,  131,    0
194936,20061031,  127,    0
194936,20061101,  126,    0
194936,20061102,   85,    0
194936,20061103,   50,    0
194936,20061104,   53,    0
194936,20061105,   47,    0
194936,20061106,   64,    0
194936,20061107,   68,    0
194936,20061108,   88,    0
194936,20061109,  112,    0
194936,20061110,   81,    0
194936,20061111,   64,    0
194936,20061112,   76,    0
194936,20061113,   70,    0
194936,20061114,   67,    0
194936,20061115,   92,    0
194936,20061116,  110,    0
194936,20061117,   90,    0
194936,20061118,  119,    0
194936,20061119,  105,    0
194936,20061120,  113,    0
194936,20061121,  108,    0
194936,20061122,   92,    0
194936,20061123,   54,    0
194936,20061124,   85,    0
194936,20061125,  101,    0
194936,20061126,   85,    0
194936,20061127,  105,    0
194936,20061128,  108,    0
194936,20061129,   98,    0
194936,20061130,   79,    0
194936,20061201,   74,    0
194936,20061202,   57,    0
194936,20061203,   73,    0
194936,20061204,   75,    0
194936,20061205,   84,    0
194936,20061206,  107,    0
194936,20061207,  105,    0
194936,20061208,  120,    0
194936,20061209,  116,    0
194936,20061210,   75,    0
194936,20061211,   49,    0
194936,20061212,   31,    0
194936,20061213,   33,    0
194936,20061214,   27,    0
194936,20061215,   23,    0
194936,20061216,   35,    0
194936,20061217,   62,    0
194936,20061218,   73,    0
194936,20061219,   54,    0
194936,20061220,   25,    0
194936,20061221,   47,    0
194936,20061222,   54,    0
194936,20061223,   24,    0
194936,20061224,   20,    0
194936,20061225,   31,    0
194936,20061226,   27,    0
194936,20061227,  -15,    0
194936,20061228,   -3,    0
194936,20061229,   14,    0
194936,20061230,   20,    0
194936,20061231,   34,    0
194936,20070101,   47,    0
194936,20070102,   48,    0
194936,20070103,   35,    0
194936,20070104,   36,    0
194936,20070105,   39,    0
194936,20070106,   41,    0
194936,20070107,   55,    0
194936,20070108,   65,    0
194936,20070109,   65,    0
194936,20070110,   62,    0
194936,20070111,   66,    0
194936,20070112,   54,    0
194936,20070113,   68,    0
194936,20070114,   65,    0
194936,20070115,   56,    0
194936,20070116,   44,    0
194936,20070117,   52,    0
195040,20070118,   57,    0
195040,20070119,   48,    0
194936,20070120,   82,    0
194936,20070121,   72,    0
194936,20070122,   88,    0
194936,20070123,  109,    0
194936,20070124,   60,    0
194936,20070125,   40,    0
194936,20070126,   28,    0
194936,20070127,   16,    0
194936,20070128,   17,    0
194936,20070129,   37,    0
194936,20070130,   33,    0
194936,20070131,    7,    0
194936,20070201,   25,    0
194936,20070202,   48,    0
194936,20070203,   25,    0
194936,20070204,   34,    0
194936,20070205,   13,    0
194936,20070206,   28,    0
194936,20070207,   63,    0
194936,20070208,   65,    0
194936,20070209,   80,    0
194936,20070210,   85,    0
194936,20070211,   69,    0
194936,20070212,   60,    0
194936,20070213,   83,    0
194936,20070214,   69,    0
194936,20070215,   77,    0
194936,20070216,   57,    0
194936,20070217,   58,    0
194936,20070218,   52,    0
194936,20070219,   48,    0
194936,20070220,   53,    0
194936,20070221,   94,    0
194936,20070222,   91,    0
194936,20070223,   75,    0
194936,20070224,   85,    0
194936,20070225,   93,    0
194936,20070226,   89,    0
194936,20070227,   73,    0
194936,20070228,   68,    0
194936,20070301,   80,    0
194936,20070302,   99,    0
194936,20070303,  111,    0
194936,20070304,  102,    0
194936,20070305,  108,    0
194936,20070306,  121,    0
194936,20070307,  112,    0
194936,20070308,  107,    0
194936,20070309,  110,    0
194936,20070310,   97,    0
194936,20070311,   89,    0
194936,20070312,   89,    0
194936,20070313,  106,    0
194936,20070314,  118,    0
194936,20070315,  108,    0
194936,20070316,  112,    0
194936,20070317,  119,    0
194936,20070318,  127,    0
194936,20070319,  111,    0
194936,20070320,   45,    0
194936,20070321,   67,    0
194936,20070322,   58,    0
194936,20070323,   60,    0
194936,20070324,   71,    0
194936,20070325,   82,    0
194936,20070326,   98,    0
194936,20070327,   97,    0
194936,20070328,   84,    0
194936,20070329,   88,    0
194936,20070330,   85,    0
194936,20070331,   98,    0
194936,20070401,  112,    0
194936,20070402,  124,    0
194936,20070403,  121,    0
194936,20070404,  128,    0
194936,20070405,  111,    0
194936,20070406,  124,    0
194936,20070407,  134,    0
194936,20070408,  136,    0
194936,20070409,  148,    0
194936,20070410,  147,    0
194936,20070411,  148,    0
194936,20070412,  155,    0
194936,20070413,  153,    0
194936,20070414,  161,    0
194936,20070415,  170,    0
194936,20070416,  166,    0
194936,20070417,  152,    0
194936,20070418,  150,    0
194936,20070419,  147,    0
194936,20070420,  150,    0
194936,20070421,  155,    0
194936,20070422,  175,    0
194936,20070423,  182,    0
194936,20070424,  194,    0
194936,20070425,  191,    0
194936,20070426,  175,    0
194936,20070427,  168,    0
194936,20070428,  180,    0
194936,20070429,  186,    0
194936,20070430,  173,    0
194936,20070501,  165,    0
194936,20070502,  146,    0
194936,20070503,  146,    0
194936,20070504,  148,    0
194936,20070505,  145,    0
194936,20070506,  164,    0
194936,20070507,  185,    0
194936,20070508,  197,    0
194936,20070509,  204,    0
194936,20070510,  208,    0
194936,20070511,  206,    0
194936,20070512,  209,    0
194936,20070513,  213,    0
194936,20070514,  218,    0
194936,20070515,  188,    0
194936,20070516,  156,    0
194936,20070517,  171,    0
194936,20070518,  174,    0
194936,20070519,  171,    0
194936,20070520,  197,    0
194936,20070521,  214,    0
194936,20070522,  240,    0
194936,20070523,  247,    0
194936,20070524,  240,    0
194936,20070525,  243,    0
194936,20070526,  217,    0
195040,20070527,  187,    0
195040,20070528,  157,    0
195040,20070529,  151,    0
195040,20070530,  169,    0
194936,20070531,  200,    0
194936,20070601,  176,    0
194936,20070602,  186,    0
195040,20070603,  199,    0
195040,20070604,  199,    0
195040,20070605,  208,    0
195040,20070606,  191,    0
195040,20070607,  185,    0
194936,20070608,  225,    0
194936,20070609,  222,    0
194936,20070610,  231,    0
194936,20070611,  217,    0
194936,20070612,  200,    0
194936,20070613,  222,    0
194936,20070614,  228,    0
194936,20070615,  227,    0
194936,20070616,  220,    0
194936,20070617,  224,    0
194936,20070618,  239,    0
194936,20070619,  246,    0
194936,20070620,  252,    0
194936,20070621,  264,    0
194936,20070622,  230,    0
194936,20070623,  233,    0
194936,20070624,  229,    0
194936,20070625,  250,    0
194936,20070626,  221,    0
195040,20070627,  190,    0
195040,20070628,  207,    0
195040,20070629,  225,    0
195040,20070630,  230,    0
195040,20070701,  244,    0
195040,20070702,  229,    0
195040,20070703,  224,    0
195040,20070704,  210,    0
195040,20070705,  194,    0
195040,20070706,  216,    0
195040,20070707,  234,    0
195040,20070708,  251,    0
195040,20070709,  247,    0
195040,20070710,  210,    0
195040,20070711,  197,    0
195040,20070712,  215,    0
195040,20070713,  231,    0
195040,20070714,  247,    0
195040,20070715,  266,    0
195040,20070716,  270,    0
195040,20070717,  273,    0
195040,20070718,  278,    0
195040,20070719,  288,    0
195040,20070720,  282,    0
195040,20070721,  282,    0
195040,20070722,  267,    0
195040,20070723,  270,    0
195040,20070724,  260,    0
195040,20070725,  246,    0
195040,20070726,  253,    0
195040,20070727,  274,    0
194936,20070728,  273,    0
194936,20070729,  263,    0
194936,20070730,  239,    0
194936,20070731,  201,    0
194936,20070801,  207,    0
194936,20070802,  223,    0
194936,20070803,  208,    0
194936,20070804,  225,    0
194936,20070805,  226,    0
194936,20070806,  231,    0
194936,20070807,  247,    0
194936,20070808,  235,    0
194936,20070809,  210,    0
194936,20070810,  197,    0
194936,20070811,  218,    0
194936,20070812,  235,    0
194936,20070813,  245,    0
194936,20070814,  240,    0
194936,20070815,  253,    0
194936,20070816,  260,    0
194936,20070817,  251,    0
194936,20070818,  227,    0
194936,20070819,  239,    0
194936,20070820,  208,    0
194936,20070821,  184,    0
194936,20070822,  202,    0
194936,20070823,  192,    0
194936,20070824,  188,    0
194936,20070825,  222,    0
194936,20070826,  241,    0
194936,20070827,  247,    0
194936,20070828,  244,    0
194936,20070829,  242,    0
194936,20070830,  236,    0
194936,20070831,  195,    0
194936,20070901,  208,    0
194936,20070902,  207,    0
194936,20070903,  165,    0
194936,20070904,  171,    0
194936,20070905,  145,    0
194936,20070906,  158,    0
194936,20070907,  167,    0
194936,20070908,  187,    0
194936,20070909,  198,    0
194936,20070910,  204,    0
194936,20070911,  195,    0
194936,20070912,  185,    0
194936,20070913,  183,    0
194936,20070914,  191,    0
194936,20070915,  199,    0
194936,20070916,  213,    0
194936,20070917,  218,    0
194936,20070918,  220,    0
194936,20070919,  173,    0
194936,20070920,  153,    0
194936,20070921,  156,    0
194936,20070922,  166,    0
194936,20070923,  175,    0
194936,20070924,  169,    0
194936,20070925,  179,    0
194936,20070926,  168,    0
194936,20070927,  140,    0
194936,20070928,  134,    0
194936,20070929,  162,    0
194936,20070930,  165,    0
194936,20071001,  171,    0
194936,20071002,  179,    0
194936,20071003,  184,    0
194936,20071004,  195,    0
194936,20071005,  193,    0
194936,20071006,  175,    0
194936,20071007,  151,    0
194936,20071008,  144,    0
194936,20071009,  148,    0
194936,20071010,  151,    0
194936,20071011,  153,    0
194936,20071012,  157,    0
194936,20071013,  154,    0
194936,20071014,  134,    0
194936,20071015,  117,    0
194936,20071016,  121,    0
194936,20071017,  114,    0
194936,20071018,  121,    0
194936,20071019,  107,    0
194936,20071020,   92,    0
194936,20071021,   83,    0
194936,20071022,   94,    0
194936,20071023,  110,    0
194936,20071024,  101,    0
194936,20071025,  108,    0
194936,20071026,  120,    0
194936,20071027,  128,    0
194936,20071028,  127,    0
194936,20071029,  109,    0
194936,20071030,  111,    0
194936,20071031,  125,    0
194936,20071101,  102,    0
194936,20071102,   92,    0
194936,20071103,  105,    0
194936,20071104,   98,    0
194936,20071105,   91,    0
194936,20071106,   88,    0
194936,20071107,   74,    0
194936,20071108,   69,    0
194936,20071109,   74,    0
194936,20071110,   71,    0
194936,20071111,   81,    0
194936,20071112,   69,    0
194936,20071113,   40,    0
194936,20071114,   44,    0
194936,20071115,   35,    0
194936,20071116,   26,    0
194936,20071117,   35,    0
194936,20071118,   33,    0
194936,20071119,   48,    0
194936,20071120,   23,    0
194936,20071121,   43,    0
194936,20071122,   82,    0
194936,20071123,   94,    0
194936,20071124,   90,    0
194936,20071125,   97,    0
194936,20071126,   85,    0
194936,20071127,   74,    0
194936,20071128,   67,    0
194936,20071129,   52,    0
194936,20071130,   42,    0
194936,20071201,   42,    0
194936,20071202,   68,    0
194936,20071203,   61,    0
194936,20071204,   49,    0
194936,20071205,   52,    0
194936,20071206,   35,    0
194936,20071207,   50,    0
194936,20071208,   67,    0
194936,20071209,   44,    0
194936,20071210,   33,    0
194936,20071211,   22,    0
194936,20071212,   25,    0
194936,20071213,   41,    0
194936,20071214,   27,    0
194936,20071215,   25,    0
194936,20071216,   29,    0
194936,20071217,   20,    0
194936,20071218,    5,    0
194936,20071219,    1,    0
194936,20071220,    4,    0
194936,20071221,    8,    0
194936,20071222,    2,    0
194936,20071223,   24,    0
194936,20071224,   43,    0
194936,20071225,   46,    0
194936,20071226,   17,    0
194936,20071227,    5,    0
194936,20071228,  -25,    0
194936,20071229,  -37,    0
194936,20071230,  -25,    0
194936,20071231,  -12,    0
194936,20080101,    1,    0
194936,20080102,   -2,    0
194936,20080103,    4,    0
194936,20080104,   35,    0
194936,20080105,   50,    0
194936,20080106,   44,    0
194936,20080107,   44,    0
194936,20080108,   40,    0
194936,20080109,   49,    0
194936,20080110,   50,    0
194936,20080111,   57,    0
194936,20080112,   90,    0
194936,20080113,   68,    0
194936,20080114,   65,    0
194936,20080115,   60,    0
194936,20080116,   75,    0
194936,20080117,   76,    0
194936,20080118,   67,    0
194936,20080119,   43,    0
194936,20080120,   42,    0
194936,20080121,   43,    0
194936,20080122,   40,    0
194936,20080123,   34,    0
194936,20080124,   28,    0
194936,20080125,   32,    0
194936,20080126,   32,    0
194936,20080127,   23,    0
194936,20080128,   38,    0
194936,20080129,   49,    0
194936,20080130,   39,    0
194936,20080131,   41,    0
194936,20080201,   45,    0
194936,20080202,   61,    0
194936,20080203,   59,    0
194936,20080204,   64,    0
194936,20080205,   69,    0
194936,20080206,   59,    0
194936,20080207,   61,    0
194936,20080208,   44,    0
194936,20080209,   44,    0
194936,20080210,   40,    0
194936,20080211,   36,    0
194936,20080212,   29,    0
194936,20080213,   23,    0
194936,20080214,   31,    0
194936,20080215,   26,    0
194936,20080216,   11,    0
194936,20080217,    5,    0
194936,20080218,    0,    0
194936,20080219,   23,    0
194936,20080220,   46,    0
194936,20080221,   43,    0
194936,20080222,   45,    0
194936,20080223,   39,    0
194936,20080224,   42,    0
194936,20080225,   50,    0
194936,20080226,   62,    0
194936,20080227,   72,    0
194936,20080228,   87,    0
194936,20080229,   84,    0
194936,20080301,   99,    0
194936,20080302,  116,    0
194936,20080303,  100,    0
194936,20080304,   69,    0
194936,20080305,   61,    0
194936,20080306,   51,    0
194936,20080307,   62,    0
194936,20080308,   71,    0
194936,20080309,   79,    0
194936,20080310,   96,    0
194936,20080311,   88,    0
194936,20080312,   77,    0
194936,20080313,   87,    0
194936,20080314,  102,    0
194936,20080315,   94,    0
194936,20080316,  112,    0
194936,20080317,  102,    0
194936,20080318,   82,    0
194936,20080319,   71,    0
194936,20080320,   64,    0
194936,20080321,   66,    0
194936,20080322,   76,    0
194936,20080323,   59,    0
194936,20080324,   54,    0
194936,20080325,   55,    0
194936,20080326,   76,    0
194936,20080327,   83,    0
194936,20080328,   94,    0
194936,20080329,  102,    0
194936,20080330,  105,    0
194936,20080331,  109,    0
194936,20080401,  127,    0
194936,20080402,  118,    0
194936,20080403,   89,    0
194936,20080404,  105,    0
194936,20080405,   93,    0
194936,20080406,   91,    0
194936,20080407,  130,    0
194936,20080408,   93,    0
194936,20080409,  115,    0
194936,20080410,  127,    0
194936,20080411,  142,    0
194936,20080412,  120,    0
194936,20080413,  107,    0
194936,20080414,  107,    0
194936,20080415,   93,    0
194936,20080416,  117,    0
194936,20080417,  120,    0
194936,20080418,  133,    0
194936,20080419,  143,    0
194936,20080420,  146,    0
194936,20080421,  122,    0
194936,20080422,  124,    0
194936,20080423,  139,    0
194936,20080424,  145,    0
194936,20080425,  136,    0
194936,20080426,  142,    0
194936,20080427,  151,    0
194936,20080428,  152,    0
194936,20080429,  130,    0
194936,20080430,  142,    0
194936,20080501,  155,    0
194936,20080502,  163,    0
194936,20080503,  172,    0
194936,20080504,  168,    0
194936,20080505,  145,    0
194936,20080506,  152,    0
194936,20080507,  167,    0
194936,20080508,  158,    0
194936,20080509,  171,    0
194936,20080510,  178,    0
194936,20080511,  171,    0
194936,20080512,  163,    0
194936,20080513,  174,    0
194936,20080514,  188,    0
194936,20080515,  184,    0
194936,20080516,  183,    0
194936,20080517,  180,    0
194936,20080518,  161,    0
194936,20080519,  165,    0
194936,20080520,  158,    0
194936,20080521,  164,    0
194936,20080522,  172,    0
194936,20080523,  182,    0
194936,20080524,  188,    0
194936,20080525,  195,    0
194936,20080526,  194,    0
194936,20080527,  208,    0
194936,20080528,  224,    0
194936,20080529,  211,    0
194936,20080530,  193,    0
194936,20080531,  201,    0
194936,20080601,  212,    0
194936,20080602,  209,    0
194936,20080603,  205,    0
194936,20080604,  186,    0
194936,20080605,  181,    0
194936,20080606,  172,    0
194936,20080607,  194,    0
194936,20080608,  200,    0
194936,20080609,  203,    0
194936,20080610,  215,    0
194936,20080611,  218,    0
194936,20080612,  185,    0
194936,20080613,  177,    0
194936,20080614,  135,    0
194936,20080615,  156,    0
194936,20080616,  169,    0
194936,20080617,  206,    0
194936,20080618,  198,    0
194936,20080619,  218,    0
194936,20080620,  236,    0
194936,20080621,  210,    0
194936,20080622,  249,    0
194936,20080623,  260,    0
194936,20080624,  263,    0
194936,20080625,  263,    0
194936,20080626,  264,    0
195040,20080627,  263,    0
195040,20080628,  252,    0
195040,20080629,  256,    0
195040,20080630,  261,    0
195040,20080701,  252,    0
195040,20080702,  252,    0
195040,20080703,  253,    0
195040,20080704,  256,    0
195040,20080705,  255,    0
195040,20080706,  255,    0
195040,20080707,  251,    0
195040,20080708,  222,    0
195040,20080709,  229,    0
195040,20080710,  245,    0
195040,20080711,  255,    0
195040,20080712,  260,    0
195040,20080713,  259,    0
195040,20080714,  210,    0
195040,20080715,  214,    0
195040,20080716,  230,    0
195040,20080717,  236,    0
195040,20080718,  194,    0
195040,20080719,  228,    0
195040,20080720,  245,    0
195040,20080721,  233,    0
195040,20080722,  212,    0
195040,20080723,  205,    0
195040,20080724,  221,    0
195040,20080725,  243,    0
195040,20080726,  249,    0
195040,20080727,  247,    0
194936,20080728,  252,    0
194936,20080729,  255,    0
194936,20080730,  262,    0
194936,20080731,  247,    0
194936,20080801,  265,    0
194936,20080802,  260,    0
194936,20080803,  266,    0
194936,20080804,  273,    0
194936,20080805,  269,    0
194936,20080806,  260,    0
194936,20080807,  252,    0
194936,20080808,  255,    0
194936,20080809,  221,    0
194936,20080810,  229,    0
194936,20080811,  241,    0
194936,20080812,  246,    0
194936,20080813,  260,    0
194936,20080814,  260,    0
194936,20080815,  224,    0
194936,20080816,  200,    0
194936,20080817,  211,    0
194936,20080818,  217,    0
194936,20080819,  235,    0
194936,20080820,  244,    0
194936,20080821,  243,    0
194936,20080822,  245,    0
194936,20080823,  235,    0
194936,20080824,  209,    0
194936,20080825,  207,    0
194936,20080826,  214,    0
194936,20080827,  228,    0
194936,20080828,  229,    0
194936,20080829,  240,    0
194936,20080830,  236,    0
194936,20080831,  234,    0
194936,20080901,  233,    0
194936,20080902,  228,    0
194936,20080903,  240,    0
194936,20080904,  240,    0
194936,20080905,  243,    0
194936,20080906,  256,    0
194936,20080907,  247,    0
194936,20080908,  215,    0
194936,20080909,  222,    0
194936,20080910,  233,    0
194936,20080911,  245,    0
194936,20080912,  240,    0
194936,20080913,  185,    0
194936,20080914,  152,    0
194936,20080915,  144,    0
194936,20080916,  155,    0
194936,20080917,  155,    0
194936,20080918,  165,    0
194936,20080919,  162,    0
194936,20080920,  157,    0
194936,20080921,  140,    0
194936,20080922,  140,    0
194936,20080923,  135,    0
194936,20080924,  133,    0
194936,20080925,  144,    0
194936,20080926,  147,    0
194936,20080927,  145,    0
194936,20080928,  135,    0
194936,20080929,  130,    0
194936,20080930,  132,    0
194936,20081001,  149,    0
194936,20081002,  162,    0
194936,20081003,  171,    0
194936,20081004,  118,    0
194936,20081005,  116,    0
194936,20081006,  146,    0
